RVI,LAI
0.164943185,1.89
0.457361782,1.89
0.443514203,1.89
0.141687955,1.89
0.558404997,1.89
0.765078757,1.89
0.456261417,1.89
0.29211256,1.89
0.353780583,1.89
0.597993628,1.89
0.047331333,1.89
0.684930298,1.89
0.322235992,3.945
0.677822649,3.945
0.739140335,3.945
0.415336957,3.945
0.695993091,3.945
0.354427346,3.945
0.492096585,3.945
0.591335752,3.945
0.503822049,3.945
0.480703314,3.945
0.572405494,3.945
0.591125046,3.945
0.270110856,3.315
0.695748734,3.315
0.597913196,3.315
0.37891892,3.315
0.364883846,3.315
0.643628475,3.315
0.482560324,3.315
0.654330225,3.315
0.362587521,3.315
0.235691373,3.315
0.646074822,3.315
0.596684945,3.315
0.743460197,4.675
0.55202249,4.675
0.414320173,4.675
0.56875646,4.675
0.490121509,4.675
0.711189709,4.675
0.39623571,4.675
0.879694689,4.675
0.190343068,4.675
0.62342019,4.675
0.293760753,4.675
0.431245883,4.675
0.52932163,4.31
0.092492191,4.31
0.268365195,4.31
0.300427315,4.31
0.667761,4.31
0.528298873,4.31
0.361657173,4.31
0.207342916,4.31
0.690917994,4.31
0.466639546,4.31
0.322673437,4.31
0.484338079,4.31
0.692031531,4.72
0.423388427,4.72
0.40338798,4.72
0.433687243,4.72
0.165533096,4.72
0.548449649,4.72
0.662818068,4.72
0.144646301,4.72
0.328216602,4.72
0.106588886,4.72
0.542120568,4.72
0.32409514,4.72
0.641705819,4.325
0.515857224,4.325
0.503694554,4.325
0.499948836,4.325
0.413141454,4.325
0.299089386,4.325
0.572019606,4.325
0.690262025,4.325
0.11834877,4.325
0.703498402,4.04
0.269781231,4.04
0.388065592,4.04
0.43405684,4.04
0.437632942,4.04
0.699458387,4.04
0.744770697,4.04
0.538408456,4.04
0.546904405,4.04
0.391730878,4.04
0.641147182,4.04
0.758989491,4.04
0.173599073,3
0.521202285,3
0.454634359,3
0.445905839,3
0.242821177,3
0.253347846,3
0.669643154,3
0.406101142,3
0.348216434,3
0.369233659,3
0.850585726,3
0.608009936,3
0.437983836,2.115
0.143923438,2.115
0.747931274,2.115
0.382689446,2.115
0.428877848,2.115
0.454926283,2.115
0.291816541,2.115
0.703416271,2.115
0.382640867,2.115
0.557308878,2.115
0.047258411,2.115
0.652793333,2.115
0.356968424,2.115
